match_id,round_num,n_ticks,bomb_plant_tick,winning_side,ct_freeze_time_end_eq_val,t_freeze_time_end_eq_val,ct_flash_opp,t_flash_opp,ct_flashed,t_flashed,ct_avg_flash_duration,t_avg_flash_duration,ct_kills,t_kills,ct_first_kill,ct_hs_prob,t_hs_prob,ct_trade_prob,t_trade_prob,ct_flash_kill_prob,t_flash_kill_prob,ct_assist_prob,t_assist_prob,ct_kast_prob,t_kast_prob,ct_shot_fires,t_shot_fires,ct_shot_connected_prob,t_shot_connected_prob,ct_he_grenade,ct_decoy_grenade,ct_flashbang,ct_smoke_grenade,t_flashbang,t_smoke_grenade,t_he_grenade,t_decoy_grenade,ct_grenade_connected_prob,t_grenade_connected_prob,ct_fire_grenade,t_fire_grenade,round_end_reason_BombDefused,round_end_reason_CTWin,round_end_reason_TargetBombed,round_end_reason_TargetSaved,round_end_reason_TerroristsWin,freeze_time_end_eq_val_diff
bfa9bbbe-bd16-4713-bd99-745378db05cb,1,13026,9411,0,4300,4350,0,0,0,0,0.0,0.0,3,5,1,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6,0.4,54,69,0.3333333333333333,0.2028985507246377,1,0,0,0,2,2,1,0,0.0,0.0,0,0,0,0,0,0,1,-50
bfa9bbbe-bd16-4713-bd99-745378db05cb,2,29455,24206,0,10600,18000,0,12,9,3,2.574380874633789,0.4615976810455322,1,3,1,0.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.3333333333333333,0.4,0.8,20,92,0.15,0.13043478260869565,2,0,0,3,7,4,2,0,0.0,0.0,0,4,0,0,1,0,0,-7400
bfa9bbbe-bd16-4713-bd99-745378db05cb,3,51519,46270,0,5300,22000,0,7,6,1,3.5552642345428467,0.6196361184120178,1,3,1,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.2,0.8,36,101,0.19444444444444445,0.09900990099009901,0,0,0,0,5,4,2,0,0.0,0.0,0,4,0,0,1,0,0,-16700
bfa9bbbe-bd16-4713-bd99-745378db05cb,4,98753,-1,1,27450,27550,0,7,6,1,1.6666584014892578,0.9436952471733093,3,5,1,0.3333333333333333,0.2,0.3333333333333333,0.4,0.0,0.0,0.0,0.2,0.4,0.6,90,145,0.08888888888888889,0.09655172413793103,3,0,0,4,3,5,1,0,0.0,0.0,4,4,0,0,0,1,0,-100
bfa9bbbe-bd16-4713-bd99-745378db05cb,5,113164,-1,1,18350,26650,0,20,14,6,3.2477588653564453,3.1558258533477783,5,1,1,0.2,1.0,0.0,0.0,0.2,0.0,0.4,0.0,0.8,0.2,188,72,0.13297872340425532,0.1111111111111111,1,0,0,3,6,4,2,0,0.0,0.0,3,2,0,1,0,0,0,-8300
bfa9bbbe-bd16-4713-bd99-745378db05cb,6,130356,-1,1,30550,2150,1,0,0,1,0.0,3.684420347213745,5,2,0,0.2,0.5,0.0,0.5,0.0,0.0,0.4,0.0,0.8,0.4,84,24,0.14285714285714285,0.16666666666666666,4,0,1,3,0,0,0,0,0.0,0.0,5,0,0,1,0,0,0,28400
bfa9bbbe-bd16-4713-bd99-745378db05cb,7,144598,139350,0,30250,24150,4,15,8,11,2.287808895111084,1.5670489072799683,1,2,0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.6,0.8,45,53,0.044444444444444446,0.09433962264150944,2,0,1,3,6,4,1,0,0.0,0.0,5,4,0,0,1,0,0,6100
bfa9bbbe-bd16-4713-bd99-745378db05cb,8,152706,-1,1,29850,25100,0,12,9,3,2.4255661964416504,0.5604953765869141,5,1,1,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.8,0.2,89,90,0.11235955056179775,0.08888888888888889,2,0,0,4,5,4,2,0,0.0,0.0,3,4,0,1,0,0,0,4750
bfa9bbbe-bd16-4713-bd99-745378db05cb,9,169822,165217,0,30450,11100,0,0,0,0,0.0,0.0,4,5,1,0.5,0.8,0.25,0.0,0.0,0.0,0.0,0.2,0.6,0.6,66,61,0.19696969696969696,0.14754098360655737,3,0,2,5,3,5,1,0,0.0,0.0,4,1,0,0,0,0,1,19350
bfa9bbbe-bd16-4713-bd99-745378db05cb,10,182440,178111,0,5250,25350,0,18,13,5,3.2184269428253174,0.923530101776123,0,5,0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.4,0.0,1.0,22,204,0.09090909090909091,0.06862745098039216,2,0,0,2,7,5,1,0,0.0,0.0,0,5,0,0,0,0,1,-20100
bfa9bbbe-bd16-4713-bd99-745378db05cb,11,202811,199419,1,24700,25700,0,13,8,5,3.5868678092956543,2.149252414703369,5,4,1,0.6,0.5,0.0,0.25,0.0,0.25,0.2,0.25,0.8,0.6,116,123,0.15517241379310345,0.12195121951219512,0,0,0,4,5,5,2,0,0.0,0.0,4,5,1,0,0,0,0,-1000
bfa9bbbe-bd16-4713-bd99-745378db05cb,12,217692,216549,1,24650,24800,2,16,15,3,2.2539587020874023,2.566385507583618,5,1,1,0.4,1.0,0.2,0.0,0.2,0.0,0.0,0.0,0.8,0.2,101,35,0.09900990099009901,0.02857142857142857,0,0,1,2,6,2,1,0,0.0,0.0,2,3,1,0,0,0,0,-150
bfa9bbbe-bd16-4713-bd99-745378db05cb,13,233914,230492,1,30550,20850,2,12,7,7,2.6785664558410645,1.270647644996643,5,2,1,0.8,0.5,0.0,0.0,0.2,0.0,0.0,0.5,0.6,0.4,91,105,0.17582417582417584,0.09523809523809523,5,0,3,4,8,5,1,0,0.0,0.0,4,5,1,0,0,0,0,9700
bfa9bbbe-bd16-4713-bd99-745378db05cb,14,243249,-1,1,26200,10650,0,4,3,1,3.7912771701812744,0.9754087328910828,5,1,1,0.8,1.0,0.2,1.0,0.0,0.0,0.0,1.0,0.8,0.2,51,38,0.23529411764705882,0.07894736842105263,3,0,0,2,3,3,2,0,0.0,0.0,3,0,0,1,0,0,0,15550
bfa9bbbe-bd16-4713-bd99-745378db05cb,15,260786,-1,1,32750,23450,6,3,5,4,3.247576951980591,1.5659403800964355,4,1,1,0.25,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.8,0.2,137,68,0.043795620437956206,0.029411764705882353,4,0,3,5,3,5,1,0,0.0,0.0,5,3,0,0,0,1,0,9300
bfa9bbbe-bd16-4713-bd99-745378db05cb,16,301939,298084,0,4250,4750,0,0,0,0,0.0,0.0,4,5,0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.4,71,128,0.18309859154929578,0.1171875,0,0,0,0,0,0,1,1,0.0,0.0,0,0,0,0,0,0,1,-500
bfa9bbbe-bd16-4713-bd99-745378db05cb,17,317039,-1,1,10100,19100,0,1,1,0,0.7697351574897766,0.0,5,1,0,0.4,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.2,30,136,0.3333333333333333,0.125,2,0,0,4,1,3,4,0,0.0,0.0,0,3,0,1,0,0,0,-9000
bfa9bbbe-bd16-4713-bd99-745378db05cb,18,339028,333781,0,25200,7750,1,2,1,2,0.9602153897285461,4.171917915344238,2,4,0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.4,0.6,56,54,0.2857142857142857,0.14814814814814814,2,0,1,4,2,1,1,0,0.0,0.0,4,0,0,0,1,0,0,17450
bfa9bbbe-bd16-4713-bd99-745378db05cb,19,356948,-1,1,13750,24550,1,1,1,1,0.3203849196434021,1.0944851636886597,4,1,1,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.8,0.2,85,131,0.12941176470588237,0.07633587786259542,2,0,1,2,1,3,3,0,0.0,0.0,1,4,0,0,0,1,0,-10800
bfa9bbbe-bd16-4713-bd99-745378db05cb,20,374868,-1,1,24450,14250,8,1,5,4,2.1377995014190674,1.757331132888794,5,2,1,0.6,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.8,0.4,65,67,0.18461538461538463,0.08955223880597014,2,0,4,4,2,3,1,0,0.0,0.0,5,2,0,0,0,1,0,10200
bfa9bbbe-bd16-4713-bd99-745378db05cb,21,398657,-1,1,29700,1100,0,0,0,0,0.0,0.0,4,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.8,0.2,138,47,0.09420289855072464,0.1276595744680851,3,0,0,5,0,0,0,0,0.0,0.0,3,0,0,0,0,1,0,28600
bfa9bbbe-bd16-4713-bd99-745378db05cb,22,412470,410222,1,29900,23000,1,3,4,0,3.4641382694244385,0.0,4,0,1,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.2,150,72,0.06,0.027777777777777776,3,0,1,5,2,2,2,0,0.0,0.0,1,1,1,0,0,0,0,6900
bfa9bbbe-bd16-4713-bd99-745378db05cb,23,424834,-1,1,30500,21850,0,2,2,0,3.9776031970977783,0.0,5,1,1,0.4,1.0,0.0,1.0,0.0,0.0,0.2,0.0,0.8,0.2,125,63,0.12,0.06349206349206349,2,0,0,4,1,4,1,0,0.0,0.0,4,1,0,1,0,0,0,8650
bfa9bbbe-bd16-4713-bd99-745378db05cb,24,442754,-1,1,30850,12100,1,3,3,1,1.7757898569107056,3.1830692291259766,4,0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,77,50,0.15584415584415584,0.02,3,0,1,4,4,3,1,0,0.0,0.0,3,0,0,0,0,1,0,18750
bfa9bbbe-bd16-4713-bd99-745378db05cb,25,457130,-1,1,31150,24900,4,0,1,3,1.3125663995742798,1.8582559823989868,5,0,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97,81,0.1134020618556701,0.037037037037037035,2,0,1,5,1,4,2,0,0.0,0.0,5,4,0,1,0,0,0,6250
bfa9bbbe-bd16-4713-bd99-745378db05cb,26,469378,-1,1,30750,10150,5,0,1,4,0.9710692763328552,3.566786766052246,5,1,1,0.4,1.0,0.2,1.0,0.0,0.0,0.0,1.0,0.8,0.2,51,17,0.2549019607843137,0.17647058823529413,3,0,2,2,0,3,1,0,0.0,0.0,2,2,0,1,0,0,0,20600
bfa9bbbe-bd16-4713-bd99-745378db05cb,27,483827,-1,1,31950,26100,4,0,1,3,1.2977429628372192,2.891893148422241,5,1,1,0.6,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.8,0.2,105,125,0.1523809523809524,0.032,2,0,4,5,2,2,2,0,0.0,0.0,4,3,0,1,0,0,0,5850
bc33710d-1499-4a28-b981-ad5b0eb061a1,1,12010,6755,0,4350,4550,8,9,7,10,3.052990436553955,1.2147047519683838,2,2,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.6,40,66,0.05,0.045454545454545456,0,0,2,1,4,2,0,0,0.0,0.0,0,0,0,0,1,0,0,-200
bc33710d-1499-4a28-b981-ad5b0eb061a1,2,31093,25839,0,10500,19050,1,6,2,5,2.305642604827881,1.0588963031768799,1,3,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.4,0.8,26,67,0.3076923076923077,0.16417910447761194,1,0,1,1,3,3,1,0,0.0,0.0,0,4,0,0,1,0,0,-8550
bc33710d-1499-4a28-b981-ad5b0eb061a1,3,44201,39874,0,6000,22200,1,1,2,0,2.2515835762023926,0.0,2,5,0,0.5,0.4,0.5,0.2,0.0,0.0,0.0,0.2,0.2,0.8,59,94,0.1864406779661017,0.1702127659574468,0,0,1,0,5,4,3,0,0.0,0.0,0,5,0,0,0,0,1,-16200
bc33710d-1499-4a28-b981-ad5b0eb061a1,4,61830,60059,0,28450,26200,10,7,11,6,2.9200971126556396,2.0326619148254395,3,5,0,0.0,0.6,0.3333333333333333,0.2,0.0,0.2,0.3333333333333333,0.2,0.6,0.6,71,73,0.09859154929577464,0.1643835616438356,4,0,4,3,5,3,2,0,0.0,0.0,4,4,0,0,0,0,1,2250
bc33710d-1499-4a28-b981-ad5b0eb061a1,5,76504,71250,0,5450,27200,0,6,4,2,1.408787488937378,0.7440369129180908,2,4,1,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.6,49,123,0.22448979591836735,0.056910569105691054,2,0,0,3,5,5,3,0,0.0,0.0,0,5,0,0,1,0,0,-21750
bc33710d-1499-4a28-b981-ad5b0eb061a1,6,95804,90825,1,28000,28150,9,14,5,18,1.9208219051361084,1.8671188354492188,5,2,0,0.4,0.5,0.0,0.5,0.0,0.0,0.4,0.5,0.6,0.4,140,182,0.14285714285714285,0.038461538461538464,2,0,3,4,9,6,1,0,0.0,0.0,3,5,1,0,0,0,0,-150
bc33710d-1499-4a28-b981-ad5b0eb061a1,7,119605,117464,0,30750,27150,8,19,19,8,1.45097017288208,1.223496913909912,3,5,1,0.0,0.6,0.0,0.2,0.3333333333333333,0.2,0.0,0.2,0.4,0.6,119,118,0.10084033613445378,0.09322033898305085,5,0,4,5,9,5,1,0,0.23529411764705882,0.0,3,5,0,0,0,0,1,3600
bc33710d-1499-4a28-b981-ad5b0eb061a1,8,133173,-1,1,21150,25300,0,9,6,3,1.3496356010437012,2.2991085052490234,5,1,1,0.0,1.0,0.2,0.0,0.4,1.0,0.2,0.0,0.8,0.2,27,41,0.4074074074074074,0.04878048780487805,2,0,0,3,4,2,0,0,0.0,0.0,0,2,0,1,0,0,0,-4150
